ID,SalePrice
1461,121968.68545082126
1462,156527.01713624172
1463,180899.8061966246
1464,196959.58410493084
1465,199131.04782927028
1466,172146.65739888427
1467,183177.28615751007
1468,161252.56183369644
1469,191416.18835167633
1470,120422.81202583716
1471,167167.79206871314
1472,98973.70290924952
1473,96181.31005599865
1474,143775.01465045282
1475,112507.53904871384
1476,361653.6522959814
1477,250978.85596453457
1478,302724.8646317642
1479,303667.07278502395
1480,534519.792415837
1481,325717.7249318599
1482,204009.09918950242
1483,170301.33914840236
1484,164251.04429883976
1485,180390.77162599115
1486,185913.97566011592
1487,349432.6810454833
1488,229726.21028967373
1489,190760.7139161616
1490,236279.47874795363
1491,187161.7017379151
1492,95085.7004801201
1493,190808.28266850958
1494,302456.944154372
1495,289587.39916811825
1496,233714.3386518865
1497,177976.70561555095
1498,189634.54393039
1499,160876.94847857312
1500,156481.78292505187
1501,178725.2437960144
1502,150794.5181542938
1503,337073.91133509757
1504,246510.2972712188
1505,229556.50107841374
1506,186545.01092645922
1507,257911.1227737747
1508,196911.22932595204
1509,161512.34812313953
1510,143694.3216053514
1511,165630.14964939433
1512,167137.9694687632
1513,138409.47200255984
1514,167599.78765232564
1515,188767.05821032208
1516,144765.14073320135
1517,169693.47091516858
1518,125005.03806741007
1519,211781.96726049087
1520,127606.05596895919
1521,131168.20939556602
1522,177454.31826747095
1523,116621.51025345958
1524,116082.337776844
1525,120887.55858283553
1526,111954.75727029864
1527,111127.13841387047
1528,133487.56551234293
1529,157553.4403510462
1530,190649.0262825324
1531,118667.08987781548
1532,95837.4296295827
1533,141750.61028476752
1534,131450.59592538912
1535,137799.98088176228
1536,106928.21439068629
1537,63220.45268721413
1538,139326.41676929343
1539,170150.3145832839
1540,76646.23291060621
1541,137020.81131196406
1542,177090.15671046777
1543,180678.2040984756
1544,88063.85077593356
1545,114517.52262881318
1546,140710.1192587068
1547,132067.63642211273
1548,141687.65074540305
1549,117464.68075783462
1550,137687.84049615654
1551,104758.05396298748
